Crop,N,P,K,temperature,humidity,ph,rainfall
1,69.0 - 91.0,41.0 - 54.25,38.0 - 42.0,21.93 - 25.51,80.95 - 83.47,5.87 - 7.04,204.33 - 264.13
2,67.75 - 87.0,42.75 - 56.0,17.0 - 22.0,19.82 - 24.9,60.58 - 69.43,5.85 - 6.6,70.38 - 99.88
21,30.0 - 52.0,61.0 - 74.0,77.0 - 83.0,17.88 - 19.71,15.39 - 18.27,6.6 - 7.86,73.61 - 85.82
20,11.75 - 28.0,61.0 - 74.0,17.0 - 22.25,18.29 - 22.0,19.74 - 23.36,5.62 - 5.87,85.82 - 129.4
19,10.0 - 30.25,61.0 - 73.25,18.0 - 23.0,22.87 - 31.47,38.37 - 57.0,5.0 - 6.42,122.35 - 177.91
18,11.0 - 30.25,42.75 - 55.0,18.0 - 23.0,26.43 - 30.12,46.73 - 59.44,5.38 - 8.37,37.99 - 64.19
17,10.0 - 31.0,40.0 - 54.25,17.0 - 22.0,27.88 - 29.25,83.43 - 87.83,6.47 - 6.98,43.1 - 54.84
16,28.75 - 52.0,62.0 - 74.0,16.75 - 22.0,27.82 - 32.38,63.04 - 67.74,6.81 - 7.42,64.05 - 71.4
15,9.0 - 29.25,61.75 - 75.0,17.0 - 22.0,21.72 - 27.43,62.49 - 67.44,6.49 - 7.39,41.57 - 50.0
14,8.0 - 29.25,13.0 - 25.0,38.0 - 43.0,19.8 - 23.89,88.1 - 92.43,5.97 - 6.89,104.97 - 109.96
13,92.0 - 108.25,75.0 - 88.0,47.0 - 53.0,26.11 - 28.66,78.06 - 82.96,5.74 - 6.21,96.47 - 112.09
12,9.0 - 30.25,19.75 - 35.0,27.0 - 32.0,28.91 - 33.38,47.93 - 52.48,5.18 - 6.42,91.61 - 97.48
11,11.75 - 35.0,125.75 - 139.0,197.0 - 203.0,16.21 - 30.82,80.86 - 82.9,5.78 - 6.31,66.84 - 71.61
10,89.0 - 110.0,10.0 - 23.0,47.0 - 53.0,24.9 - 26.26,83.01 - 87.64,6.26 - 6.76,46.06 - 56.41
9,89.0 - 111.0,12.0 - 25.0,47.0 - 52.25,27.96 - 29.37,90.96 - 93.79,6.16 - 6.55,22.07 - 26.86
8,10.0 - 30.0,126.75 - 141.0,197.0 - 203.0,22.16 - 23.34,90.97 - 93.51,5.71 - 6.14,106.07 - 118.45
7,9.0 - 31.0,9.0 - 23.0,8.0 - 12.25,17.05 - 29.55,91.03 - 93.37,6.48 - 7.52,106.22 - 115.57
6,39.0 - 59.25,54.0 - 65.0,47.0 - 52.0,28.55 - 39.07,91.17 - 93.51,6.62 - 6.84,81.94 - 202.39
5,13.75 - 31.0,9.75 - 24.25,29.0 - 33.0,26.27 - 28.6,92.54 - 96.76,5.73 - 6.21,149.13 - 202.35
4,107.75 - 127.5,40.0 - 52.0,17.0 - 22.0,23.02 - 24.97,77.04 - 82.36,6.36 - 7.43,70.89 - 90.42
3,70.0 - 88.25,41.0 - 53.25,37.0 - 43.0,23.89 - 25.89,74.59 - 83.23,6.35 - 7.13,161.09 - 187.64
22,89.0 - 112.0,23.0 - 34.25,27.0 - 33.0,24.22 - 26.74,53.81 - 63.58,6.43 - 7.13,136.01 - 181.47
